config,snr_level,ba,recall_speech,recall_nonspeech,n_total,n_speech,n_nonspeech
Base+Hand,snr_-10dB,0.6216494845360825,0.2804123711340206,0.9628865979381444,970,485,485
Base+Hand,snr_-5dB,0.6618556701030928,0.3731958762886598,0.9505154639175257,970,485,485
Base+Hand,snr_0dB,0.6402061855670103,0.334020618556701,0.9463917525773196,970,485,485
Base+Hand,snr_5dB,0.6257731958762887,0.2845360824742268,0.9670103092783505,970,485,485
Base+Hand,snr_10dB,0.6123711340206186,0.2597938144329897,0.9649484536082474,970,485,485
Base+Hand,snr_20dB,0.6051546391752577,0.24329896907216494,0.9670103092783505,970,485,485
Base+OPRO-LLM,snr_-10dB,0.8804123711340206,0.9608247422680413,0.8,970,485,485
Base+OPRO-LLM,snr_-5dB,0.8886597938144329,0.9195876288659793,0.8577319587628865,970,485,485
Base+OPRO-LLM,snr_0dB,0.8835051546391752,0.845360824742268,0.9216494845360824,970,485,485
Base+OPRO-LLM,snr_5dB,0.8536082474226804,0.756701030927835,0.9505154639175257,970,485,485
Base+OPRO-LLM,snr_10dB,0.8298969072164948,0.711340206185567,0.9484536082474226,970,485,485
Base+OPRO-LLM,snr_20dB,0.8216494845360824,0.7072164948453609,0.9360824742268041,970,485,485
Base+OPRO-Tmpl,snr_-10dB,0.6814432989690722,0.7896907216494845,0.5731958762886598,970,485,485
Base+OPRO-Tmpl,snr_-5dB,0.7288659793814434,0.7690721649484537,0.688659793814433,970,485,485
Base+OPRO-Tmpl,snr_0dB,0.7577319587628866,0.7381443298969073,0.777319587628866,970,485,485
Base+OPRO-Tmpl,snr_5dB,0.777319587628866,0.709278350515464,0.845360824742268,970,485,485
Base+OPRO-Tmpl,snr_10dB,0.7659793814432989,0.6927835051546392,0.8391752577319588,970,485,485
Base+OPRO-Tmpl,snr_20dB,0.777319587628866,0.7360824742268042,0.8185567010309278,970,485,485
LoRA+Hand,snr_-10dB,0.9185567010309279,0.9422680412371134,0.8948453608247423,970,485,485
LoRA+Hand,snr_-5dB,0.9185567010309279,0.9360824742268041,0.9010309278350516,970,485,485
LoRA+Hand,snr_0dB,0.9154639175257733,0.8969072164948454,0.934020618556701,970,485,485
LoRA+Hand,snr_5dB,0.8876288659793814,0.843298969072165,0.931958762886598,970,485,485
LoRA+Hand,snr_10dB,0.8845360824742268,0.8391752577319588,0.9298969072164949,970,485,485
LoRA+Hand,snr_20dB,0.8835051546391752,0.8247422680412371,0.9422680412371134,970,485,485
LoRA+OPRO-LLM,snr_-10dB,0.7824742268041237,1.0,0.5649484536082474,970,485,485
LoRA+OPRO-LLM,snr_-5dB,0.8144329896907216,0.9896907216494846,0.6391752577319587,970,485,485
LoRA+OPRO-LLM,snr_0dB,0.836082474226804,0.9814432989690721,0.6907216494845361,970,485,485
LoRA+OPRO-LLM,snr_5dB,0.8515463917525774,0.9608247422680413,0.7422680412371134,970,485,485
LoRA+OPRO-LLM,snr_10dB,0.8257731958762886,0.9257731958762887,0.7257731958762886,970,485,485
LoRA+OPRO-LLM,snr_20dB,0.8216494845360824,0.9257731958762887,0.7175257731958763,970,485,485
LoRA+OPRO-Tmpl,snr_-10dB,0.9628865979381444,0.9958762886597938,0.9298969072164949,970,485,485
LoRA+OPRO-Tmpl,snr_-5dB,0.9618556701030928,1.0,0.9237113402061856,970,485,485
LoRA+OPRO-Tmpl,snr_0dB,0.9711340206185567,0.9979381443298969,0.9443298969072165,970,485,485
LoRA+OPRO-Tmpl,snr_5dB,0.9773195876288661,0.9979381443298969,0.9567010309278351,970,485,485
LoRA+OPRO-Tmpl,snr_10dB,0.9845360824742269,0.9979381443298969,0.9711340206185567,970,485,485
